,G10,G12,G25,G26,G31,G46,G49,G54,G59,G61,G65,G66,G69,G80,G87,G89,G100,G103,G111,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E20_PF,2.801591371519482,4.706180382262677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,E,True,1.0,7.507771753782159,8.881784197001252e-16
E20_PT,2.794729785326644,4.694654125200277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16,E,True,1.0,7.489383910526921,8.881784197001252e-16
E21_PF,26.51092711844106,0.0,0.0,78.92809498048952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,15,E,True,1.0,105.43902209893058,2.842170943040401e-14
E21_PT,26.113101470931653,0.0,0.0,77.74369202271987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,15,E,True,1.0,103.85679349365152,2.842170943040401e-14
E22_PF,4.4391566150707495,0.0,0.0,13.216217350009286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,E,True,1.0,17.655373965080035,3.552713678800501e-15
E22_PT,4.402759601767295,0.0,0.0,13.107856487705723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,E,True,1.0,17.510616089473018,3.552713678800501e-15
E23_PF,20.18263170362642,0.0,0.0,60.0875505010908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18,E,True,1.0,80.27018220471723,1.4210854715202004e-14
E23_PT,19.961233093827286,0.0,0.0,59.42840454121152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18,E,True,1.0,79.38963763503881,1.4210854715202004e-14
E24_PF,4.875209006710987,0.0,0.0,14.514428628328174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,19,E,True,1.0,19.38963763503916,3.552713678800501e-15
E24_PT,4.855067657775034,0.0,0.0,14.454463984513573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,19,E,True,1.0,19.309531642288608,3.552713678800501e-15
E25_PF,0.0,0.0,7.562847589948738,3.103829696070394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,E,True,1.0,10.666677286019132,-1.7763568394002505e-15
E25_PT,0.0,0.0,7.53278363321716,3.09149130096524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,E,True,1.0,10.624274934182399,-1.7763568394002505e-15
E26_PF,3.01290164206177,0.27933494203134096,0.0,8.233079974440729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,19,E,True,1.0,11.52531655853384,3.552713678800501e-15
E26_PT,2.9997292050903672,0.2781136867913922,0.0,8.197084864102635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,19,E,True,1.0,11.474927755984394,3.552713678800501e-15
E27_PF,0.0,0.0,20.44618577867468,8.391214795279616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,20,E,True,1.0,28.837400573954294,-3.552713678800501e-15
E27_PT,0.0,0.0,20.325140192304293,8.341537093714669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,20,E,True,1.0,28.66667728601896,-7.105427357601002e-15
E28_PF,0.0,0.0,30.66902646008138,12.5867186855493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,21,E,True,1.0,43.255745145630684,0.0
E28_PT,0.0,0.0,30.372413358284568,12.464987215669614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,21,E,True,1.0,42.837400573954184,0.0
E29_PF,0.0,0.0,38.49769495354926,15.799642582496556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,22,E,True,1.0,54.297337536045816,7.105427357601002e-15
E29_PT,0.0,0.0,37.759189016945676,15.496556128685048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,22,E,True,1.0,53.255745145630726,0.0
E30_PF,0.0,0.0,5.873258088615267,2.4104138885936837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,24,E,True,1.0,8.28367197720895,0.0
E30_PT,0.0,0.0,5.850722734860308,2.401165269027549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,24,E,True,1.0,8.251888003887856,0.0
E31_PF,0.0,0.0,118.23872561641943,48.52575216265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,23,E,True,1.0,166.76447777907134,0.0
E31_PT,0.0,0.0,115.25982172414933,47.303195413676065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,23,E,True,1.0,162.5630171378254,0.0
E32_PF,0.0,0.0,0.0,90.28907762771847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,25,E,True,0.96,90.28907762771847,0.0
E32_PT,0.0,0.0,0.0,90.28907762771867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,25,E,True,0.96,90.28907762771867,0.0
E33_PF,0.0,0.0,101.76127438358054,41.76332546506674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,27,E,True,1.0,143.52459984864728,0.0
E33_PT,0.0,0.0,97.22497680058552,39.9016067168237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,27,E,True,1.0,137.12658351740922,0.0
E34_PF,0.0,0.0,23.309451773275686,9.566313184622059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,28,E,True,1.0,32.875764957897744,0.0
E34_PT,0.0,0.0,23.152977467816473,9.502095363202285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,28,E,True,1.0,32.65507283101876,0.0
E35_PF,0.0,0.0,11.099701121147165,4.55537170987151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,29,E,True,1.0,15.655072831018675,1.7763568394002505e-15
E35_PT,0.0,0.0,11.04972775842549,4.5348623970256225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,29,E,True,1.0,15.584590155451114,1.7763568394002505e-15
E36_PF,58.12817088237758,0.0,0.0,173.0586701833991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,17,E,True,0.96,231.1868410657767,2.842170943040401e-14
E36_PT,58.12817088237761,0.0,0.0,173.0586701833992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,17,E,True,0.96,231.1868410657768,5.684341886080802e-14
E37_PF,74.16031438852033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,30,E,True,1.0,74.16031438852033,-1.4210854715202004e-14
E37_PT,73.80541037256646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,30,E,True,1.0,73.80541037256646,-1.4210854715202004e-14
E38_PF,0.0,0.0,0.0,223.71092237227757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,30,E,True,1.0,223.71092237227757,0.0
E38_PT,0.0,0.0,0.0,219.732807303741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,30,E,True,1.0,219.732807303741,0.0
E39_PF,3.712652071726007,0.0,0.0,11.053274524785191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,31,E,True,1.0,14.765926596511198,3.552713678800501e-15
E39_PT,3.6644835548791765,0.0,0.0,10.909867647471144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,31,E,True,1.0,14.57435120235032,3.552713678800501e-15
E40_PF,0.6007481801528555,0.0,3.4704482601149844,3.2128310713516504,1.1475661435213185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,29,E,True,1.0,8.431593655140809,0.0
E40_PT,0.5995950891526418,0.0,3.4637869953993303,3.206664283476172,1.145363476520467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,29,E,True,1.0,8.415409844548611,0.0
E41_PF,0.0,0.0,65.92575489217974,27.05625273239077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,32,E,True,1.0,92.98200762457051,0.0
E41_PT,0.0,0.0,63.95371407505393,26.246917521379398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,32,E,True,1.0,90.20063159643333,-1.4210854715202004e-14
E42_PF,0.0,0.0,21.412306607761682,8.787715515894126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,31,E,True,1.0,30.200022123655806,-7.105427357601002e-15
E42_PT,0.0,0.0,21.16927024899946,8.687972203791215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,31,E,True,1.0,29.857242452790675,-3.552713678800501e-15
E43_PF,0.0,0.0,8.88190156408536,3.6451759081884507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,32,E,True,1.0,12.527077472273811,0.0
E43_PT,0.0,0.0,8.853477473118442,3.6335105220256803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,32,E,True,1.0,12.486987995144123,0.0
E44_PF,1.9100233442098609,0.1770838625081247,0.0,5.2193456057089955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,33,E,True,1.0,7.306452812426981,1.7763568394002505e-15
E44_PT,1.9034894941837195,0.1764780901215277,0.0,5.201491153026162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,33,E,True,1.0,7.281458737331409,1.7763568394002505e-15
E45_PF,0.23395531290628074,0.0,0.0,0.6965296640045577,0.0,0.0,0.0,0.0,0.0,0.0,2.716637436284884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,19,E,True,1.0,3.6471224131957225,4.440892098500626e-16
E45_PT,0.23037221891430554,0.0,0.0,0.6858621086354391,0.0,0.0,0.0,0.0,0.0,0.0,2.6750313399949204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,19,E,True,1.0,3.591265667544665,4.440892098500626e-16
E46_PF,0.05380513571920453,0.0,0.0,0.16018816858085155,0.0,0.0,0.0,0.0,0.0,0.0,0.6247733558319891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,36,E,True,1.0,0.8387666601320451,1.1102230246251565e-16
E46_PT,0.05377815417191861,0.0,0.0,0.16010783935971987,0.0,0.0,0.0,0.0,0.0,0.0,0.6244600520624134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,36,E,True,1.0,0.8383460455940519,2.220446049250313e-16
E47_PF,2.1802208742806704,0.0,0.0,6.490934076913929,0.0,0.0,0.0,0.0,0.0,0.0,25.316243400778205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,35,E,True,1.0,33.9873983519728,0.0
E47_PT,2.17068646056128,0.0,0.0,6.462548305708522,0.0,0.0,0.0,0.0,0.0,0.0,25.205531893861075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,35,E,True,1.0,33.83876666013087,0.0
E48_PF,1.0174593033847787,0.0,0.0,3.0291707331681885,0.0,0.0,0.0,0.0,0.0,0.0,11.814512776543257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,33,E,True,1.0,15.861142813096224,0.0
E48_PT,1.0083117106879822,0.0,0.0,3.0019366020497276,0.0,0.0,0.0,0.0,0.0,0.0,11.708292949930648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,33,E,True,1.0,15.718541262668358,0.0
E49_PF,1.9402288912210581,0.0,0.0,5.776432092548811,0.0,0.0,0.0,0.0,0.0,0.0,22.529509483565725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,36,E,True,1.0,30.246170467335595,7.105427357601002e-15
E49_PT,1.934807332801037,0.0,0.0,5.760291077336255,0.0,0.0,0.0,0.0,0.0,0.0,22.466555544269056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,36,E,True,1.0,30.161653954406347,3.552713678800501e-15
E50_PF,6.067921133666866,0.0,0.0,18.0653604995592,0.0,0.0,0.0,0.0,0.0,0.0,70.45936041105004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,34,E,True,1.0,94.59264204427612,1.4210854715202004e-14
E50_PT,6.049595077108684,0.0,0.0,18.01080032796732,0.0,0.0,0.0,0.0,0.0,0.0,70.24656228867795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,34,E,True,1.0,94.30695769375396,1.4210854715202004e-14
E51_PF,15.61176359766122,0.0,0.0,46.479202879028236,0.0,0.0,0.0,0.0,0.0,0.0,181.28035182866532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,37,E,True,0.935,243.37131830535478,0.0
E51_PT,15.611763597661213,0.0,0.0,46.479202879028215,0.0,0.0,0.0,0.0,0.0,0.0,181.28035182866523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,37,E,True,0.935,243.37131830535466,0.0
E52_PF,3.522299599409938,0.0,0.0,10.486558847600033,0.0,0.0,0.0,0.0,0.0,0.0,40.900165226858604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,39,E,True,1.0,54.909023673868575,0.0
E52_PT,3.4586515216167286,0.0,0.0,10.297066359957322,0.0,0.0,0.0,0.0,0.0,0.0,40.16109780097856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,39,E,True,1.0,53.91681568255261,0.0
E53_PF,2.823862686919097,0.0,0.0,8.40717872178727,0.0,0.0,0.0,0.0,0.0,0.0,32.79007001343672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,40,E,True,1.0,44.021111422143086,0.0
E53_PT,2.748649791572377,0.0,0.0,8.183255562813546,0.0,0.0,0.0,0.0,0.0,0.0,31.9167144796296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,40,E,True,1.0,42.84861983401552,0.0
E54_PF,15.67723949019131,0.0,0.0,46.674137120349144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,38,E,True,1.0,62.351376610540456,0.0
E54_PT,15.611763597661628,0.0,0.0,46.47920287902945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,38,E,True,1.0,62.09096647669108,0.0
E55_PF,1.7266577103822442,0.0,0.0,5.1405898841254185,0.0,0.0,0.0,0.0,0.0,0.0,20.049568088044996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,40,E,True,1.0,26.91681568255266,0.0
E55_PT,1.7167709510102673,0.0,0.0,5.111155112596141,0.0,0.0,0.0,0.0,0.0,0.0,19.934765221207723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,40,E,True,1.0,26.76269128481413,0.0
E56_PF,0.846921866165171,0.0,0.0,2.5214482011547563,0.0,0.0,0.8892567164464119,0.0,0.0,0.0,9.858849564569965,1.1281731336649412,0.20287311671861444,0.0,0.0,0.0,0.0,0.0,0.0,40,41,E,True,1.0,15.447522598719859,0.0
E56_PT,0.8448793031237802,0.0,0.0,2.515367100746073,0.0,0.0,0.887112052368312,0.0,0.0,0.0,9.835072493088271,1.1254522631346433,0.20238383766365572,0.0,0.0,0.0,0.0,0.0,0.0,40,41,E,True,1.0,15.410267050124736,1.7763568394002505e-15
E57_PF,0.0,0.0,0.0,0.0,0.0,0.0,4.725596878194925,0.0,0.0,0.0,0.13061974272911694,5.995222009472115,1.0780875188283516,0.0,0.0,0.0,0.0,0.0,0.0,42,40,E,True,1.0,11.929526149224507,0.0
E57_PT,0.0,0.0,0.0,0.0,0.0,0.0,4.688632500517249,0.0,0.0,0.0,0.1295980141249106,5.948326420125041,1.069654545123074,0.0,0.0,0.0,0.0,0.0,0.0,42,40,E,True,1.0,11.836211479890276,1.7763568394002505e-15
E58_PF,0.0,0.0,0.0,0.0,0.0,0.0,8.639875984196136,0.0,0.0,0.0,0.23881393342596172,10.961149669488508,1.9710827442277783,0.0,0.0,0.0,0.0,0.0,0.0,42,41,E,True,1.0,21.810922331338382,0.0
E58_PT,0.0,0.0,0.0,0.0,0.0,0.0,8.552257093264796,0.0,0.0,0.0,0.23639206857234477,10.849990229338005,1.9510935587002258,0.0,0.0,0.0,0.0,0.0,0.0,42,41,E,True,1.0,21.589732949875373,3.552713678800501e-15
