,L4,G2,G3,G6,G8,S9,E1,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E8_QF,0.0,0.0,0.0,0.0,11.38427994065085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,E,True,0.978,11.38427994065085,0.0
E8_QT,0.0,0.0,0.0,0.0,4.688785054391649,0.0,0.0,0.0,0.0,0.0,0.0,4.992280660549722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,E,True,0.978,9.68106571494137,0.0
E9_QF,0.0,0.0,0.0,0.0,0.3295347272935888,1.402787278646975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,E,True,0.969,1.732322005940564,0.0
E9_QT,0.0,0.0,0.0,0.0,0.01729880152920447,0.07363879042522686,0.0,0.0,0.0,0.0,0.0,0.0,0.33667358960348315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,E,True,0.969,0.4276111815579145,0.0
E10_QF,2.2484818734438243,0.08505087365748025,2.099370723279118,0.0,2.713216473062733,0.04245525268037212,0.0,0.0034048595993739195,1.5178309858129886,0.6885464525531336,0.0,2.878218608305182,0.19410370858735823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,E,True,0.932,12.470679810981563,0.0
E10_QT,-4.5248557536786365,-0.171156787861941,-4.224783756777449,0.0,-5.460089900707081,-0.08543715501269823,0.0,-0.006851955859932321,-3.0544903876625384,-1.3856341980369982,0.0,-5.792140992529998,-0.39061523821255406,33.14557431745484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,E,True,0.932,8.049518191115006,-5.329070518200751e-15
E11_QF,-0.775277572976614,-0.0293255799335041,-0.723863980557305,2.181288469068981,-0.9355182743699345,-0.014638590440462413,0.0,-0.001173997139005483,-0.5233488144903182,-0.23741113011484877,0.0,-0.992411085674122,-0.06692704703413155,5.679080574195344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11,E,True,1.0,3.5604729705340783,-4.440892098500626e-16
E11_QT,-0.7500280756433596,-0.0283704947122404,-0.700288938167588,2.11024754217701,-0.9050500046852819,-0.014161835968035271,0.0,-0.0011357620104995002,-0.5063042165857252,-0.22967904562580005,0.0,-0.9600899120265814,-0.06474734475134428,5.494122393007497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11,E,True,1.0,3.444514305008051,-8.881784197001252e-16
E12_QF,-0.5451076106531747,-0.020619191584758133,-0.5089580540354302,1.5336919149541561,-0.6577749041626912,-0.010292580794893667,0.0,-0.0008254524542737495,-0.36797326757392784,-0.16692681226737735,0.0,-0.6977769698929004,-0.0470572656407134,3.9930344310370818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12,E,True,1.0,2.503414236931097,4.440892098500626e-16
E12_QT,-0.5125644161153323,-0.019388215627273733,-0.47857300594514585,1.4421297474590757,-0.6185054163589395,-0.009678108619934806,0.0,-0.0007761725336192174,-0.34600508111431344,-0.15696119883796686,0.0,-0.6561193389380856,-0.04424792355809293,3.7546482963620686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12,E,True,1.0,2.35395916617244,4.440892098500626e-16
E13_QF,-1.571378044015001,-0.059438804941292,-1.4671699602167672,4.421163370943383,-1.8961632934583292,-0.029670353451800916,0.0,-0.0023795262397269044,-1.0607540642429658,-0.4811987993344356,0.0,-2.01147697937142,-0.13565166325708475,11.510693505836594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,E,True,1.0,7.216575388251154,0.0
E13_QT,-1.4804338758255497,-0.055998758992992344,-1.38225687890405,4.165286672951109,-1.786422041738707,-0.027953169210339485,0.0,-0.002241810153275801,-0.9993624746165326,-0.45334921552109886,0.0,-1.8950618993606563,-0.12780076593456027,10.844507256029202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,E,True,1.0,6.7989130387225485,-8.881784197001252e-16
E14_QF,0.0,0.0,0.0,0.0,17.623451366399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,E,True,1.0,17.623451366399,0.0
E14_QT,0.0,0.0,0.0,0.0,17.162970509527153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,E,True,1.0,17.162970509527153,0.0
E15_QF,0.0,0.0,0.0,0.0,5.7786905690428965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,E,True,1.0,5.7786905690428965,0.0
E15_QT,0.0,0.0,0.0,0.0,4.976621868501657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,E,True,1.0,4.976621868501657,0.0
E16_QF,0.0,0.0,0.0,0.0,0.8025946787459929,3.4165431197531295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,E,True,1.0,4.219137798499123,8.881784197001252e-16
E16_QT,0.0,0.0,0.0,0.0,0.7960887723069598,3.3888483063302877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,E,True,1.0,4.1849370786372475,8.881784197001252e-16
E17_QF,0.0,0.0,0.0,0.0,0.6867213008059699,2.9232849377002794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14,E,True,1.0,3.6100062385062492,-4.440892098500626e-16
E17_QT,0.0,0.0,0.0,0.0,0.6397208608860624,2.723210063188744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14,E,True,1.0,3.3629309240748064,-4.440892098500626e-16
E18_QF,-0.35808586939293713,-0.01354492397558061,-0.33433891529313403,1.0074953862581497,-0.4320979817906371,-0.006761284689861962,0.0,-0.0005422468040337344,-0.2417247986588947,-0.10965565610821523,0.0,-0.45837568220166497,-0.030912321803795943,2.6230585994580586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,E,True,1.0,1.644514304997453,-2.220446049250313e-16
E18_QT,-0.35167295812685817,-0.013302349769264003,-0.3283512850071168,0.9894522880370142,-0.42435959764224035,-0.006640197759416227,0.0,-0.0005325357795677915,-0.23739578202598965,-0.10769184783608819,0.0,-0.4501666942807759,-0.03035871722539609,2.5760825987782012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,E,True,1.0,1.6150629213625023,-4.440892098500626e-16
E19_QF,-0.16417134389665963,-0.006209930528169051,-0.15328409672707374,0.4619056088755763,-0.1981036182351027,-0.0030998408171881973,0.0,-0.0002486034612111468,-0.11082337629311366,-0.050273741490204506,0.0,-0.21015113465429527,-0.014172347605055462,1.2025915910135414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13,E,True,1.0,0.7539591661810443,1.1102230246251565e-16
E19_QT,-0.1629305367020334,-0.006162995866524742,-0.15212557535832344,0.45841452578441394,-0.1966063508743486,-0.0030764122169412243,0.0,-0.00024672451598259376,-0.10998577309529965,-0.04989377249767989,0.0,-0.20856281215142258,-0.014065232986537349,1.1935024024687617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13,E,True,1.0,0.7482607419880822,2.220446049250313e-16
E20_QF,-0.38043952573866546,-0.014390471375405259,-0.35521015835038294,1.0703886963809475,-0.4590718744186973,-0.007183360642395459,0.0,-0.0005760967817848494,-0.2568145677375287,-0.11650095513429505,0.0,-0.48698997098816604,-0.03284203609166236,2.786804101637178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14,E,True,1.0,1.7471737807591419,0.0
E20_QT,-0.35646470296183475,-0.013483601879575341,-0.3328252587308036,1.002934140369109,-0.4301417394395674,-0.006730674244973665,0.0,-0.0005397918836048375,-0.2406304350923705,-0.10915921074731755,0.0,-0.4563004725038381,-0.030772372080282124,2.611183194948339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14,E,True,1.0,1.63706907575328,0.0
L2,-0.011268117053245819,12.263498937232997,-0.010520856462068984,0.0,-0.01359710352587349,-0.00021276166927458815,0.0,0.4909472446633384,0.0,-0.0034506046571247642,0.0,-0.014424000729674261,-0.0009727377990739725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,L,True,1.0,12.7,0.0
L3,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,L,True,1.0,19.0,0.0
L5,0.2884823483594,0.01091210743235797,0.269351246937532,0.0,0.3481082364954636,0.005447049023644909,0.0,0.0004368467029520726,0.19473914927735067,0.0883411602882218,0.0,0.36927816631400007,0.024903689169077356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,L,True,1.0,1.6000000000000003,2.220446049250313e-16
L6,-1.633092526033811,-0.061773211402385404,-1.5247917619679132,4.5948006496348635,-1.9706334287160832,-0.030835630325540556,0.0,-0.00247298002692613,-1.1024142413553024,-0.5000974563203254,0.0,-2.0904759575915093,-0.14097926228062127,11.962765806385555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,L,True,1.0,7.500000000000001,8.881784197001252e-16
L9,0.0,0.0,0.0,0.0,3.157771161663151,13.44222883833685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,L,True,1.0,16.6,0.0
L10,-0.3516729581268733,-0.013302349769264575,-0.32835128500713096,0.9894522880370569,0.37172917466473554,3.3822081085710174,0.0,-0.0005325357795678145,-0.23739578202599987,-0.10769184783609283,0.0,-0.45016669428079525,-0.0303587172253974,2.5760825987783122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,L,True,1.0,5.799999999999999,-8.881784197001252e-16
L11,-0.3919422062481147,-0.014825570736572497,-0.3659500228722992,1.1027521559123672,-0.47295202289186,-0.007400551278129734,0.0,-0.0005935152064622712,-0.2645794179252727,-0.12002338951687812,0.0,-0.5017142298219623,-0.03383502294734911,2.8710637935325334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,L,True,1.0,1.7999999999999998,-2.220446049250313e-16
L12,-0.34839307222054633,-0.013178285099175556,-0.3252889092198215,0.9802241385887711,-0.42040179812609774,-0.006578267802781986,0.0,-0.0005275690724109078,-0.2351817048224646,-0.10668745734833612,0.0,-0.4459682042861888,-0.03007557595319921,2.552056705362252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,L,True,1.0,1.6000000000000005,4.440892098500626e-16
L13,-1.2629248867994807,-0.04777128348451138,-1.1791722959218527,3.553312502384295,-1.5239565182071044,-0.0238462207850847,0.0,-0.0019124378874895405,-0.852533679981434,-0.3867420328877184,0.0,-1.6166347405374342,-0.10902396283034713,9.251205556938162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,L,True,1.0,5.799999999999999,-8.881784197001252e-16
L14,-0.356464702974091,-0.013483601880038944,-0.33282525874224705,1.0029341404035925,0.20957912145370083,2.71647938903717,0.0,-0.000539791883623397,-0.24063043510064402,-0.10915921075107074,0.0,-0.45630047251952693,-0.030772372081340163,2.6111831950381186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,L,True,1.0,5.0,0.0
L4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,G,True,1.0,3.9,0.0
G2,0.0,43.55710013352808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,G,True,1.0,43.55710013352808,0.0
G3,0.0,0.0,25.075348495409514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,G,True,1.0,25.075348495409514,0.0
G6,0.0,0.0,0.0,12.730944404601484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,G,True,1.0,12.730944404601484,0.0
G8,0.0,0.0,0.0,0.0,17.623451366399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,G,True,1.0,17.623451366399,0.0
G1,-0.011364947550212922,12.368883065835545,-0.010611265512217095,0.0,-0.01371394774088315,-0.00021458999765226275,3.7401654216708917,0.4951661097550608,0.0,-0.003480256795295457,0.0,-0.014547950734125615,-0.000981096842919358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,L,True,1.0,16.54930054208819,0.0
E10.S5,5.8214022741567755,0.22019984024614195,5.435348021764049,0.0,7.024617246469268,0.10991821078142817,0.0,0.00881530674055268,3.9297202512307052,1.7826720918217511,0.0,7.451813843731548,0.5025416410682672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,L,True,1.0,32.28704872801049,7.105427357601002e-15
E8.S4,2.3574798743697984,0.0,2.201140372722395,0.0,2.844743071135905,0.04451332471805327,0.0,0.0,0.0,0.7219246121724565,0.0,3.017743893449111,0.20351313121078168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,L,True,1.0,11.391058279778502,3.552713678800501e-15
E9.S4,1.27232296127261,0.0,1.1879471242347297,0.0,1.5352970634775494,0.024023672794450706,0.0,0.0,0.0,0.3896199795217253,0.0,1.6286649521883598,0.10983526628373924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,L,True,1.0,6.147711019773165,1.7763568394002505e-15
E2,-0.0026473488723373247,2.881205433790013,-0.0024717863117030905,0.0,-0.003194524561306913,-4.998655610064331e-05,0.871233471836831,0.11534390603106312,0.0,-0.0008106904023764831,0.0,-0.0033887970710507025,-0.00022853652507244627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,L,True,1.0,3.8549911413579596,8.881784197001252e-16
E2,0.40195664756565314,0.015204376095560636,0.3753003428194359,0.0,0.485036330740715,0.007589641366695874,0.0,0.0006086800014535526,0.27133963668304484,0.12309008448334964,0.0,0.5145334353901052,0.03469953523100273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,L,True,1.0,2.2293587103770167,4.440892098500626e-16
E3,-0.0031588018569733167,3.4378381971780536,-0.002949321592267296,0.0,-0.0038116888264499845,-5.9643678959096286e-05,0.0,0.137627703083877,0.0,-0.0009673112505932625,0.0,-0.004043493697711907,-0.0002726885025726551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,L,True,1.0,3.5602029508564033,0.0
E3,0.0,0.0,1.6022328732376243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,L,True,1.0,1.6022328732376243,-2.220446049250313e-16
S9,0.0,0.0,0.0,0.0,0.0,21.184844174407242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,G,True,1.0,21.184844174407242,0.0
